10104101001,2011.05,46
10104101001,2013.07,48
10104101001,2015.07,50
10104101001,2018.07,53
10104101002,2011.05,48
10104101002,2013.07,50
10104101002,2015.07,52
10104101002,2018.07,55
10104102001,2011.05,57
10104102001,2013.07,59
10104102001,2015.07,61
10104102001,2018.07,64
10104102002,2011.05,60
10104102002,2013.07,62
10104102002,2015.07,64
10104102002,2018.07,67
10104103001,2011.05,48
10104103001,2013.07,50
10104103001,2015.07,52
10104103001,2018.07,55
10104103002,2011.05,46
10104103002,2013.07,48
10104103002,2015.07,50
10104103002,2018.07,53
10104104001,2011.05,61
10104104001,2013.07,63
10104104001,2015.07,64
10104104001,2018.07,67
10104104002,2011.05,NA
10104104002,2013.07,55
10104104002,2015.07,57
10104104002,2018.07,60
10104105001,2011.05,66
10104105001,2013.07,NA
10104105001,2015.07,70
10104105001,2018.07,73
10104105002,2011.05,68
10104105002,2013.07,70
10104105002,2015.07,72
10104105002,2018.07,75
10104106001,2011.05,80
10104106001,2013.07,83
10104106001,2015.07,85
10104106001,2018.07,31
10104106002,2011.05,77
10104107001,2011.05,79
10104107001,2013.07,81
10104107001,2015.07,83
10104107001,2018.07,86
10104107002,2011.05,NA
10104107002,2013.07,83
10104107002,2015.07,85
10104108001,2011.05,56
10104108001,2013.07,58
10104108001,2015.07,60
10104108001,2018.07,63
10104108002,2011.05,59
10104108002,2013.07,61
10104108002,2015.07,63
10104108002,2018.07,66
10104109001,2011.05,45
10104109001,2013.07,47
10104109001,2015.07,49
10104109001,2018.07,52
10104109002,2011.05,45
10104109002,2013.07,47
10104109002,2015.07,53
10104109002,2018.07,52
10104110001,2011.05,57
10104110001,2013.07,59
10104110001,2015.07,60
10104110001,2018.07,64
10104110002,2011.05,65
10104110002,2013.07,67
10104110002,2015.07,69
10104110002,2018.07,72
10104111001,2011.05,57
10104111001,2013.07,59
10104111001,2015.07,61
10104111001,2018.07,64
10104112001,2011.05,51
10104112001,2013.07,53
10104112001,2015.07,53
10104112001,2018.07,56
10104112002,2011.05,54
10104112002,2013.07,56
10104112002,2015.07,58
10104112002,2018.07,61
10104113001,2011.05,49
10104113001,2013.07,51
10104113001,2015.07,53
10104113001,2018.07,56
10104113002,2011.05,47
10104113002,2013.07,49
10104113002,2015.07,51
10104113002,2018.07,54
