ID	Chro_1	Chro_2	Chro_3	Chro_4	Chro_5	Chro_6	Chro_7	Chro_8	Chro_9	Chro_10	Chro_11	Chro_12	Chro_13	Chro_14
31106310002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106311001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106311001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106311001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106311001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106311002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106311002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106311002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106311002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106312001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106312001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106312001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106312002	0	0	0	0	1	0	0	0	0	0	0	0	1	0
31106312002	0	0	0	0	1	0	0	0	0	0	0	0	1	0
31106312002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106313001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106313001	0	0	0	0	0	1	0	0	0	0	0	0	0	0
31106313001	0	0	0	0	0	1	0	0	0	0	0	0	0	0
31106313001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106313002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106313002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106313002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106313002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106314001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106314001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106314001	0	0	1	0	0	0	0	0	0	0	0	0	0	0
31106314001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
