ID	Internet_Use	Freq
10104101001	0	0
10104101001	0	0
10104101001	0	0
10104101001	0	0
10104101002	0	0
10104101002	0	0
10104101002	0	0
10104101002	0	0
10104102001	0	0
10104102001	0	0
10104102001	0	0
10104102001	0	0
10104102002	0	0
10104102002	0	0
10104102002	0	0
10104102002	0	0
10104103001	0	0
10104103001	0	0
10104103001	0	0
10104103001	0	0
10104103002	0	0
10104103002	0	0
10104103002	0	0
10104103002	0	0
10104104001	0	0
10104104001	0	0
10104104001	0	0
10104104001	0	0
10104104002	0	0
10104104002	0	0
10104104002	0	0
10104104002	0	0
10104105001	0	0
10104105001	0	0
10104105001	0	0
10104105001	0	0
10104105002	0	0
10104105002	0	0
10104105002	0	0
10104105002	0	0
10104106001	0	0
10104106001	0	0
10104106001	0	0
10104106001	0	0
10104106002	0	0
10104107001	0	0
10104107001	0	0
10104107001	0	0
10104107001	0	0
10104107002	0	0
10104107002	0	0
10104107002	0	0
10104108001	0	0
10104108001	0	0
10104108001	0	0
10104108001	0	0
10104108002	0	0
10104108002	0	0
10104108002	0	0
10104108002	0	0
10104109001	0	0
10104109001	0	0
10104109001	0	0
10104109001	0	0
10104109002	0	0
10104109002	0	0
10104109002	0	0
10104109002	0	0
10104110001	0	0
10104110001	0	0
10104110001	0	0
10104110001	0	0
10104110002	0	0
10104110002	0	0
10104110002	0	0
10104110002	0	0
10104111001	0	0
10104111001	0	0
10104111001	0	0
10104111001	0	0
10104112001	0	0
10104112001	0	0
10104112001	0	0
10104112001	0	0
10104112002	0	0
10104112002	0	0
10104112002	0	0
10104112002	0	0
10104113001	0	0
10104113001	0	0
10104113001	0	0
10104113001	0	0
10104113002	0	0
10104113002	0	0
10104113002	0	0
10104113002	0	0
10104114001	0	0
10104114001	0	0
10104114001	0	0
10104114001	0	0
10104114002	0	0
10104114002	0	0
10104114002	0	0
10104114002	0	0
10104115001	0	0
10104115001	0	0
10104115001	0	0
10104115001	0	0
10104115002	0	0
10104115002	0	0
10104115002	0	0
10104115002	0	0
10104116001	0	0
10104116001	0	0
10104116001	0	0
10104116001	0	0
10104116002	0	0
10104116002	0	0
10104116002	0	0
10104116002	0	0
10104117001	0	0
10104117001	0	0
10104117001	0	0
10104117001	0	0
10104117002	0	0
10104117002	0	0
10104117002	0	0
10104118001	0	0
10104118001	0	0
10104118001	0	0
10104118001	0	0
10104118002	0	0
10104118002	0	0
10104118002	0	0
10104118002	0	0
10104119001	0	0
10104119001	0	0
10104119001	0	0
10104119001	0	0
10104119002	0	0
10104119002	0	0
10104119002	0	0
10104119002	0	0
10104120001	0	0
10104120001	0	0
10104120001	0	0
10104120001	0	0
10104120002	0	0
10104120002	0	0
10104120002	0	0
10104120002	0	0
10104121001	0	0
10104121001	0	0
10104121001	0	0
10104121001	0	0
10104121002	0	0
10104121002	0	0
10104121002	0	0
10104121002	0	0
10104122001	0	0
10104122001	0	0
10104122001	0	0
10104122001	0	0
10104122002	0	0
10104122002	0	0
10104122002	0	0
10104122002	0	0
10104123001	0	0
10104123001	0	0
10104123001	0	0
10104123001	0	0
10104124001	0	0
10104124001	0	0
10104124001	0	0
10104124001	0	0
10104124002	0	0
10104124002	0	0
10104124002	0	0
10104124002	0	0
10104125001	0	0
10104125001	0	0
10104125001	0	0
10104125001	0	0
10104125002	0	0
10104125002	0	0
10104125002	0	0
10104125002	0	0
10104126001	0	0
10104126001	0	0
10104126001	0	0
10104126001	0	0
10104126002	0	0
10104126002	0	0
10104127001	0	0
10104127001	0	0
10104127001	0	0
10104127001	0	0
10104127002	0	0
10104127002	0	0
10104127002	0	0
10104127002	0	0
10104128001	0	0
10104128001	0	0
10104128001	0	0
10104128001	0	0
10104128002	0	0
10104128002	0	0
10104128002	0	0
10104128002	0	0
10104129001	0	0
10104129001	0	0
10104129001	0	0
10104129001	0	0
10104129002	0	0
10104129002	0	0
10104129002	0	0
10104129002	0	0
10104130001	0	0
10104130001	0	0
10104130001	0	0
10104130001	0	0
10104130002	0	0
10104130002	0	0
10104130002	0	0
10104130002	0	0
10104201001	0	0
10104201001	0	0
10104201002	0	0
10104201002	0	0
10104201002	0	0
10104202001	0	0
10104202002	0	0
10104203001	0	0
10104203001	0	0
10104203002	0	0
10104203002	0	0
10104204001	0	0
10104204001	0	0
10104205001	0	0
10104205001	0	0
10104205001	0	0
